distance_overtaker;distance_stationary;direction;way_id;course;speed;time;geometry
1,75;2,2600000000000002;-1;225233696,0;1,3247268934122713;3,9166666666666665;2022-08-01 14:28:03+00:00;POINT (14.335775526 51.766961543)
1,36;;-1;225233695,0;1,1227289435046799;5,027777777777778;2022-08-01 14:28:30+00:00;POINT (14.336547093 51.768227773)
1,69;2,36;-1;128366364,0;0,7287000954488614;4,972222222222221;2022-08-01 14:28:38+00:00;POINT (14.336959944 51.768593485)
1,8900000000000001;;-1;128366375,0;0,511926188093886;5,111111111111111;2022-08-01 14:28:44+00:00;POINT (14.33742065 51.768741916)
1,25;1,92;1;178071536,0;1,8002805944275204;4,611111111111112;2022-08-01 14:39:09+00:00;POINT (14.349863954 51.785173193)
1,22;;1;178071536,0;1,8220483408583945;4,805555555555555;2022-08-01 14:39:13+00:00;POINT (14.34978927 51.785364397)
1,32;2,37;1;178071536,0;1,7888640467243748;4,694444444444444;2022-08-01 14:39:27+00:00;POINT (14.349556039 51.785985257)
1,24;1,5;1;178071536,0;1,7657007350236071;4,777777777777778;2022-08-01 14:39:31+00:00;POINT (14.349495451 51.78616515)
1,25;2,31;1;178071536,0;1,783554755139808;4,888888888888889;2022-08-01 14:39:33+00:00;POINT (14.349462901 51.786261795)
2,18;2,0100000000000002;1;178071536,0;1,7829690226428392;4,833333333333333;2022-08-01 14:39:34+00:00;POINT (14.349446632 51.786310099)
1,17;1,69;1;904427587,0;1,7043824314791411;5,055555555555555;2022-08-01 14:40:01+00:00;POINT (14.349129289 51.787562613)
1,07;1,81;1;904427587,0;1,6861151173960671;4,916666666666666;2022-08-01 14:40:03+00:00;POINT (14.349115149 51.787650437)
1,53;1,83;1;178251801,0;1,6718760232265977;4,916666666666666;2022-08-01 14:40:13+00:00;POINT (14.349041697 51.788106361)
1,27;2,1;1;178251801,0;1,6509620918657992;4,805555555555555;2022-08-01 14:40:18+00:00;POINT (14.349006254 51.788326333)
1,62;1,9100000000000001;1;178251801,0;1,6543410492976607;4,805555555555555;2022-08-01 14:40:19+00:00;POINT (14.348999291 51.788369547)
2,38;;1;178251801,0;1,658943133469318;4,777777777777778;2022-08-01 14:40:20+00:00;POINT (14.348992133 51.788413973)
1,4000000000000001;1,81;1;178251801,0;1,7016255093926906;4,833333333333333;2022-08-01 14:40:38+00:00;POINT (14.348858346 51.789244258)
1,41;1,53;1;178251801,0;1,71754361030258;4,777777777777778;2022-08-01 14:40:42+00:00;POINT (14.348829399 51.789423856)
1,04;1,8;1;178251801,0;1,6738231125401217;4,722222222222222;2022-08-01 14:40:54+00:00;POINT (14.348741723 51.789973271)
1,24;2,25;1;178251801,0;1,671460634864622;4,638888888888888;2022-08-01 14:40:59+00:00;POINT (14.348707202 51.790192607)
0,8300000000000001;1,48;1;178251801,0;1,6735829552350472;4,583333333333333;2022-08-01 14:41:01+00:00;POINT (14.348693473 51.790279841)
0,75;;1;178251801,0;1,6554622488091413;4,333333333333333;2022-08-01 14:41:05+00:00;POINT (14.348669035 51.790435116)
1,43;1,47;1;150746926,0;0,27445948259434066;4,833333333333333;2022-08-01 14:43:17+00:00;POINT (14.355057195 51.793254525)
1,16;2,4;1;150746926,0;0,2851892432368263;4,861111111111111;2022-08-01 14:43:19+00:00;POINT (14.355194144 51.793279294)
